0;1;[['109.274200', '10.977500', '117.586701', '31.482500', '4']]
1;1;[['236.834200', '10.977500', '245.146701', '31.482500', '3']]
2;1;[['378.569200', '10.977500', '386.881701', '31.482500', '2']]
3;1;[['506.129200', '10.977500', '514.441701', '31.482500', '1']]
4;1;[['199.794300', '42.319500', '249.819301', '54.622500', '4xØ5.8-5.85']]
5;1;[['239.222400', '56.300102', '264.879794', '74.383188', '0.14'], ['267.307000', '57.969540', '276.879304', '72.208212', 'M'], ['289.190900', '56.300102', '299.938883', '74.383188', 'C'], ['305.064860', '56.300102', '312.161291', '74.383188', 'E'], ['315.239900', '57.969540', '324.812204', '72.208212', 'M']]
6;1;[['46.004200', '72.717500', '53.275039', '93.222500', 'F']]
7;1;[['243.413000', '78.614700', '257.189000', '111.422700', 'B']]
8;1;[['120.447900', '115.807202', '138.774610', '133.890288', '0.1'], ['144.338210', '115.807202', '151.930692', '133.890288', 'B'], ['155.058500', '117.476640', '164.630804', '131.715312', 'M']]
9;1;[['63.840300', '172.612500', '89.097843', '184.915500', 'Ø11.0']]
10;1;[['45.614200', '198.057500', '53.655872', '218.562500', 'E']]
11;1;[['91.587300', '165.133500', '109.499795', '177.436500', '+0.2'], ['98.049300', '178.111500', '103.036806', '190.414500', '0']],[['103.568000', '189.304102', '129.225394', '207.387188', '0.15'], ['131.652700', '190.973540', '141.225004', '205.212212', 'M']]
12;1;[['155.362300', '189.304102', '162.458731', '207.387188', 'E']]
13;1;[['103.568000', '209.146602', '129.225394', '227.229688', '0.12'], ['131.652700', '210.816040', '141.225004', '225.054712', 'M']]
14;1;[['155.362300', '209.146602', '162.458731', '227.229688', 'E']]
15;1;[['113.188506', '245.329124', '119.595956', '263.412210', 'F']]
16;1;[['355.782300', '121.075702', '365.565741', '139.158788', 'A']]
17;1;[['570.029200', '198.057500', '578.070872', '218.562500', 'E']]
18;1;[['155.069000', '257.174700', '172.829000', '289.982700', 'A']]
19;1;[['386.861000', '257.174700', '404.621000', '289.982700', 'A']]
20;1;[['510.987469', '264.744942', '520.826018', '282.828028', 'D']]
21;1;[['377.952931', '310.795981', '385.545413', '328.879067', 'B']]
22;1;[['68.619300', '318.097500', '93.881315', '330.400500', 'Ø24.0'], ['96.374218', '318.097500', '107.506783', '330.400500', 'H9']]
23;1;[['106.238800', '334.424502', '124.565510', '352.507588', '0.2'], ['129.437000', '336.093840', '134.249192', '350.332512', 'L']]
24;1;[['44.039200', '339.792500', '55.205863', '360.297500', 'D']]
25;1;[['570.419200', '72.717500', '577.690039', '93.222500', 'F']]
26;1;[['428.208400', '85.028802', '453.865794', '103.111888', '0.25'], ['458.773400', '86.698240', '468.345704', '100.936912', 'M'], ['476.685700', '85.028802', '483.782131', '103.111888', 'E'], ['486.863700', '86.698240', '496.436004', '100.936912', 'M']]
27;1;[['150.766600', '334.424502', '157.863031', '352.507588', 'E'], ['164.762141', '334.424502', '171.169591', '352.507588', 'F'], ['176.591200', '336.093840', '181.403392', '350.332512', 'L']]
28;1;[['243.413000', '342.062700', '257.189000', '374.870700', 'B']]
29;1;[['416.352900', '341.580100', '514.930801', '374.388100', 'SECTION'], ['521.577900', '352.969402', '541.158544', '371.052488', 'B-B']]
30;1;[['322.658637', '356.116136', '329.755068', '374.199222', 'E']]
31;1;[['568.454200', '339.792500', '579.620863', '360.297500', 'D']]
32;1;[['442.446209', '376.237982', '482.764938', '394.321068', 'SCALE'], ['489.411500', '376.244402', '496.742184', '394.327488', '1'], ['500.407526', '376.244402', '504.072868', '394.327488', ':'], ['507.738210', '376.244402', '515.068894', '394.327488', '2']]
