[109.2742, 10.9775];[117.586701, 10.9775];[109.2742, 31.4825];[117.586701, 31.4825];1
[236.8342, 10.9775];[245.146701, 10.9775];[236.8342, 31.4825];[245.146701, 31.4825];1
[378.5692, 10.9775];[386.881701, 10.9775];[378.5692, 31.4825];[386.881701, 31.4825];1
[506.1292, 10.9775];[514.441701, 10.9775];[506.1292, 31.4825];[514.441701, 31.4825];1
[199.7943, 42.3195];[249.819301, 42.3195];[199.7943, 54.6225];[249.819301, 54.6225];0
[239.2224, 56.300102];[324.812204, 56.300102];[239.2224, 74.383188];[324.812204, 74.383188];0
[46.0042, 72.7175];[53.275039, 72.7175];[46.0042, 93.2225];[53.275039, 93.2225];1
[243.413, 78.6147];[257.189, 78.6147];[243.413, 111.4227];[257.189, 111.4227];1
[120.4479, 115.807202];[164.630804, 115.807202];[120.4479, 133.890288];[164.630804, 133.890288];0
[63.8403, 172.6125];[89.097843, 172.6125];[63.8403, 184.9155];[89.097843, 184.9155];0
[45.6142, 198.0575];[53.655872, 198.0575];[45.6142, 218.5625];[53.655872, 218.5625];1
[91.5873, 165.1335];[109.499795, 165.1335];[91.5873, 190.4145];[109.499795, 190.4145];1
[103.568, 189.304102];[141.225004, 189.304102];[103.568, 207.387188];[141.225004, 207.387188];0
[155.3623, 189.304102];[162.458731, 189.304102];[155.3623, 207.387188];[162.458731, 207.387188];1
[103.568, 209.146602];[141.225004, 209.146602];[103.568, 227.229688];[141.225004, 227.229688];0
[155.3623, 209.146602];[162.458731, 209.146602];[155.3623, 227.229688];[162.458731, 227.229688];1
[113.188506, 245.329124];[119.595956, 245.329124];[113.188506, 263.41221];[119.595956, 263.41221];1
[355.7823, 121.075702];[365.565741, 121.075702];[355.7823, 139.158788];[365.565741, 139.158788];1
[570.0292, 198.0575];[578.070872, 198.0575];[570.0292, 218.5625];[578.070872, 218.5625];1
[155.069, 257.1747];[172.829, 257.1747];[155.069, 289.9827];[172.829, 289.9827];1
[386.861, 257.1747];[404.621, 257.1747];[386.861, 289.9827];[404.621, 289.9827];1
[510.987469, 264.744942];[520.826018, 264.744942];[510.987469, 282.828028];[520.826018, 282.828028];1
[377.952931, 310.795981];[385.545413, 310.795981];[377.952931, 328.879067];[385.545413, 328.879067];1
[68.6193, 318.0975];[107.506783, 318.0975];[68.6193, 330.4005];[107.506783, 330.4005];0
