element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['428.208400', '85.028802', '453.865794', '103.111888', '0.25'], ['458.773400', '86.698240', '468.345704', '100.936912', 'M'], ['476.685700', '85.028802', '483.782131', '103.111888', 'E'], ['486.863700', '86.698240', '496.436004', '100.936912', 'M']];428.2084;85.028802;496.436004;103.111888;0;[428.2084, 85.028802];[496.436004, 85.028802];[428.2084, 103.111888];[496.436004, 103.111888]
[['150.766600', '334.424502', '157.863031', '352.507588', 'E'], ['164.762141', '334.424502', '171.169591', '352.507588', 'F'], ['176.591200', '336.093840', '181.403392', '350.332512', 'L']];150.7666;334.424502;181.403392;352.507588;0;[150.7666, 334.424502];[181.403392, 334.424502];[150.7666, 352.507588];[181.403392, 352.507588]
[['243.413000', '342.062700', '257.189000', '374.870700', 'B']];243.413;342.0627;257.189;374.8707;1;[243.413, 342.0627];[257.189, 342.0627];[243.413, 374.8707];[257.189, 374.8707]
[['416.352900', '341.580100', '514.930801', '374.388100', 'SECTION'], ['521.577900', '352.969402', '541.158544', '371.052488', 'B-B']];416.3529;341.5801;541.158544;374.3881;0;[416.3529, 341.5801];[541.158544, 341.5801];[416.3529, 374.3881];[541.158544, 374.3881]
[['322.658637', '356.116136', '329.755068', '374.199222', 'E']];322.658637;356.116136;329.755068;374.199222;1;[322.658637, 356.116136];[329.755068, 356.116136];[322.658637, 374.199222];[329.755068, 374.199222]
[['568.454200', '339.792500', '579.620863', '360.297500', 'D']];568.4542;339.7925;579.620863;360.2975;1;[568.4542, 339.7925];[579.620863, 339.7925];[568.4542, 360.2975];[579.620863, 360.2975]
[['442.446209', '376.237982', '482.764938', '394.321068', 'SCALE'], ['489.411500', '376.244402', '496.742184', '394.327488', '1'], ['500.407526', '376.244402', '504.072868', '394.327488', ':'], ['507.738210', '376.244402', '515.068894', '394.327488', '2']];442.446209;376.237982;515.068894;394.327488;0;[442.446209, 376.237982];[515.068894, 376.237982];[442.446209, 394.327488];[515.068894, 394.327488]
[['282.078100', '405.803402', '307.735494', '423.886488', '0.41'], ['313.217518', '405.803402', '323.000959', '423.886488', 'A'], ['326.096400', '407.472840', '335.668704', '421.711512', 'M']];282.0781;405.803402;335.668704;423.886488;0;[282.0781, 405.803402];[335.668704, 405.803402];[282.0781, 423.886488];[335.668704, 423.886488]
[['414.804500', '427.532402', '433.131210', '445.615488', '0.1'], ['440.599685', '427.532402', '450.438233', '445.615488', 'D'], ['462.161814', '427.532402', '468.569263', '445.615488', 'F']];414.8045;427.532402;468.569263;445.615488;0;[414.8045, 427.532402];[468.569263, 427.532402];[414.8045, 445.615488];[468.569263, 445.615488]
[['189.955100', '448.206602', '208.281810', '466.289688', '0.3']];189.9551;448.206602;208.28181;466.289688;3;[189.9551, 448.206602];[208.28181, 448.206602];[189.9551, 466.289688];[208.28181, 466.289688]
